factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste
incineration_facility,久喜宮代清掃センター75t／24hごみ処理施設(1号炉),"[139.666946, 36.062222]",埼玉県久喜市,久喜宮代衛生組合(埼玉県),11800,,無し
incineration_facility,久喜宮代清掃センター75t／24hごみ処理施設(2号炉),"[139.666946, 36.062222]",埼玉県久喜市,久喜宮代衛生組合(埼玉県),9187,,無し
incineration_facility,八甫清掃センターごみ焼却施設,"[139.69136, 36.09634]",埼玉県久喜市八甫,久喜宮代衛生組合(埼玉県),15863,,無し
incineration_facility,小針クリーンセンター,"[139.505051, 36.13332]",埼玉県行田市小針,彩北広域清掃組合(埼玉県),31018,,無し
incineration_facility,秩父広域市町村圏組合秩父クリーンセンター,"[139.085251, 35.991596]",埼玉県秩父郡,秩父広域市町村圏組合(埼玉県),27586,,有り
incineration_facility,新港清掃工場,"[140.092636, 35.610844]",千葉県千葉市美浜区新港,千葉市(千葉県),105576,,無し
incineration_facility,銚子市清掃センター(焼却施設),"[140.848953, 35.732414]",千葉県銚子市清水町,銚子市(千葉県),0,廃止,無し
incineration_facility,市川市クリーンセンター(ごみ焼却処理施設),"[139.931061, 35.721855]",千葉県市川市,市川市(千葉県),124966,,無し
incineration_facility,船橋市北部清掃工場,"[139.98204, 35.710369]",千葉県船橋市北本町,船橋市(千葉県),79882.85,,無し
incineration_facility,船橋市南部清掃工場,"[140.02269, 35.733475]",千葉県船橋市南三咲,船橋市(千葉県),0,休止,無し
incineration_facility,船橋市南部清掃工場,"[140.02269, 35.733475]",千葉県船橋市南三咲,船橋市(千葉県),86893.25,,無し
incineration_facility,館山市清掃センター,"[139.869965, 34.996559]",千葉県館山市,館山市(千葉県),16651,,無し
incineration_facility,松戸市和名ヶ谷クリーンセンター,"[139.925476, 35.777344]",千葉県松戸市和名ケ谷,松戸市(千葉県),82335,,有り
incineration_facility,野田市清掃工場,"[139.857178, 35.955612]",千葉県野田市清水,野田市(千葉県),23414,,有り
incineration_facility,旭市クリーンセンター焼却施設,"[140.648178, 35.716034]",千葉県旭市,旭市(千葉県),,廃止,
incineration_facility,芝園清掃工場,"[140.019821, 35.661659]",千葉県習志野市芝園,習志野市(千葉県),54038.55,,有り
incineration_facility,柏市清掃工場,"[139.975937, 35.867508]",千葉県柏市,柏市(千葉県),67536,,無し
incineration_facility,柏市第二清掃工場,"[139.975937, 35.867508]",千葉県柏市,柏市(千葉県),39029,,無し
incineration_facility,勝浦市クリーンセンター,"[140.320923, 35.152233]",千葉県勝浦市,勝浦市(千葉県),5659,,無し
incineration_facility,市原市福増クリーンセンター第一工場,"[140.139389, 35.475063]",千葉県市原市福増,市原市(千葉県),27706.55,,無し
incineration_facility,市原市福増クリーンセンター第二工場,"[140.139389, 35.475063]",千葉県市原市福増,市原市(千葉県),51067.93,,無し
incineration_facility,流山市クリーンセンターごみ焼却施設,"[139.90274, 35.856285]",千葉県流山市,流山市(千葉県),42882,,無し
incineration_facility,八千代市清掃センター(3号炉),"[140.099731, 35.7225]",千葉県八千代市,八千代市(千葉県),22249,,無し
incineration_facility,八千代市清掃センター(1・2号炉),"[140.099731, 35.7225]",千葉県八千代市,八千代市(千葉県),27512,,無し
incineration_facility,我孫子市クリーンセンター(2号炉),"[140.028336, 35.864166]",千葉県我孫子市,我孫子市(千葉県),12720,,無し
incineration_facility,我孫子市クリーンセンター(1号炉),"[140.028336, 35.864166]",千葉県我孫子市,我孫子市(千葉県),16817,,無し
