name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
土成町高尾,"[134.370055685148, 34.1325603612467]",土成町(徳島県),94,平地,焼却残渣,3500,埋立終了,土成町高尾
山川町馬見尾第２処分場,"[134.231796, 34.025402]",山川町(徳島県),100,山間,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,12940,埋立終了,徳島県吉野川市山川町馬見尾
美馬町中野谷ゴミ埋立地,"[134.039108, 34.077938]",美馬町(徳島県),100,山間,不燃ごみ・直接搬入ごみ,2467,埋立終了,徳島県美馬市美馬町
一宇村黒松最終処分場,"[134.043701, 33.923683]",一宇村(徳島県),100,山間,不燃ごみ・直接搬入ごみ・焼却残渣,8364,埋立終了,徳島県つるぎ町一宇
阿南市外二町衛生組合西分埋立処分場,"[134.659744, 33.922031]",阿南市外二町衛生組合(徳島県),99,平地,不燃ごみ・破砕ごみ・中間処理残査,65000,埋立終了,徳島県阿南市
阿南市外二町衛生組合十八女最終処分場,"[134.659744, 33.922031]",阿南市外二町衛生組合(徳島県),56,山間,焼却残渣,67900,埋立中,徳島県阿南市
美馬環境整備組合拝原最終処分場,"[134.169724, 34.053825]",美馬環境整備組合(徳島県),100,平地,可燃ごみ・不燃ごみ・直接搬入ごみ・焼却残渣,40795,埋立終了,徳島県美馬郡
美馬環境整備組合長谷最終処分場（仮称）,"[134.169724, 34.053825]",美馬環境整備組合(徳島県),0,山間,破砕ごみ・中間処理残査・焼却残渣,44000,埋立前,徳島県美馬郡
高松市一般廃棄物陶最終処分場第２処分地,"[134.024963, 34.287231]",高松市(香川県),60,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,136900,埋立中,香川県高松市一宮町
丸亀市土器塩田埋立地,"[133.820496, 34.27607]",丸亀市(香川県),100,平地,混合・不燃ごみ・焼却残渣,191909,埋立終了,香川県丸亀市土器町西
坂出市坂出環境センター,"[133.83316, 34.319248]",坂出市(香川県),21,山間,不燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,383500,埋立中,香川県坂出市坂出町
観音寺市伊吹清掃センター埋立地,"[133.5354, 34.130451]",観音寺市(香川県),100,山間,不燃ごみ・直接搬入ごみ・焼却残渣,2401,埋立終了,香川県観音寺市伊吹町
観音寺市伊吹清掃センター埋立地,"[133.5354, 34.130451]",観音寺市(香川県),74,山間,不燃ごみ・直接搬入ごみ・焼却残渣,2000,埋立終了,香川県観音寺市伊吹町
引田町不燃物最終処分場,"[134.395172, 34.225586]",引田町(香川県),100,山間,不燃ごみ・焼却残渣,4200,埋立終了,香川県東かがわ市引田
志度町大串最終処分場,"[134.178619, 34.315781]",志度町(香川県),100,山間,不燃ごみ・焼却残渣,2629,埋立終了,香川県さぬき市志度
土庄町豊島ごみ埋立地,"[134.05954, 34.485191]",土庄町(香川県),21,山間,不燃ごみ・直接搬入ごみ,16200,埋立中,香川県土庄町豊島家浦
土庄町土庄地区埋立処分地,"[134.160294, 34.476749]",土庄町(香川県),22,山間,不燃ごみ・直接搬入ごみ,86400,埋立中,香川県土庄町土庄
池田町吉野一般廃棄物埋立処分地,"[134.084427, 34.259651]",池田町(香川県),63,山間,不燃ごみ・焼却残渣,50715,埋立中,香川県高松市池田町
三木町一般廃棄物最終処分場,"[134.134445, 34.268333]",三木町(香川県),60,山間,不燃ごみ・焼却残渣,46500,埋立中,香川県三木町
庵治町一般廃棄物最終処分場,"[134.142563, 34.377396]",庵治町(香川県),19,山間,不燃ごみ・焼却残渣,27317,埋立中,香川県高松市庵治町
直島町納言様埋立地,"[133.988937, 34.463444]",直島町(香川県),82,平地,不燃ごみ・直接搬入ごみ・焼却残渣,128064,埋立中,香川県直島町納言様
三豊地区広域市町村圏振興事務組合埋立処分地施設,"[133.715118, 34.182674]",三豊地区広域市町村圏振興事務組合(香川県),58,山間,その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,156900,埋立中,香川県三豊郡
高松地区広域市町村圏振興事務組合南部広域清掃センター埋立処分地,"[134.046524, 34.342758]",高松地区広域市町村圏振興事務組合(香川県),78,山間,焼却残渣,472000,埋立中,香川県高松市
高松地区広域市町村圏振興事務組合南部広域一般廃棄物塩江最終処分場,"[134.046524, 34.342758]",高松地区広域市町村圏振興事務組合(香川県),92,山間,不燃ごみ,93200,埋立中,香川県高松市
松山市横谷廃棄物センター,"[132.832825, 33.942459]",松山市(愛媛県),87,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,824000,埋立中,愛媛県松山市横谷
松山市新一般廃棄物最終処分場,"[132.799744, 33.845482]",松山市(愛媛県),0,山間,不燃ごみ・直接搬入ごみ・焼却残渣,550000,埋立前,愛媛県松山市新石手
今治市一般廃棄物最終処分場,"[132.997757, 34.066212]",今治市(愛媛県),96,山間,その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,395170,埋立中,愛媛県今治市
宇和島市環境センター,"[132.560608, 33.223282]",宇和島市(愛媛県),44,山間,不燃ごみ・破砕ごみ・中間処理残査,132000,埋立中,愛媛県宇和島市
八幡浜市大島不燃物処分場,"[132.34021, 33.386223]",八幡浜市(愛媛県),48,海面,破砕ごみ・中間処理残査,347,埋立中,愛媛県八幡浜市大島
