都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
群馬県,草津町,草津町クリーンセンター,3415,,無し
群馬県,みなかみ町,奥利根アメニティパーク固形燃料利用施設,0,休止,無し
群馬県,玉村町,玉村町クリーンセンター,10984,,無し
群馬県,甘楽西部環境衛生施設組合,甘楽西部環境衛生施設組合清掃センター,2023,,無し
群馬県,館林衛生施設組合,たてばやしクリーンセンター,27348,,無し
群馬県,吾妻東部衛生施設組合,吾妻東部衛生センターごみ処理施設,9874,,無し
群馬県,西吾妻環境衛生施設組合,西吾妻環境衛生センタ-,5436,,無し
群馬県,渋川地区広域市町村圏振興整備組合,渋川地区広域圏清掃センター,38461,,無し
群馬県,沼田市外二箇村清掃施設組合,清掃工場,15834,,無し
群馬県,大泉町外二町環境衛生施設組合,大泉町外二町清掃センター,0,廃止,無し
群馬県,利根東部衛生施設組合,尾瀬クリーンセンター,3289,,無し
群馬県,太田市外三町広域清掃組合,太田市外三町広域清掃組合クリーンプラザ,90251,新設（新規稼働）,無し
埼玉県,さいたま市,さいたま市クリーンセンター大崎第二工場,116544,,無し
埼玉県,さいたま市,さいたま市東部環境センター,61627,,無し
埼玉県,さいたま市,さいたま市西部環境センター,76761,,無し
埼玉県,さいたま市,さいたま市桜環境センター,113286,,無し
埼玉県,川越市,川越市東清掃センター焼却施設,22044.91,,無し
埼玉県,川越市,川越市資源化センター熱回収施設,66350.42,,無し
埼玉県,川口市,川口市戸塚環境センター西棟(4号炉),30099,,有り
埼玉県,川口市,川口市戸塚環境センター西棟(3号炉),28960,,有り
埼玉県,川口市,川口市朝日環境センター,91426,,有り
埼玉県,所沢市,所沢市西部クリーンセンターごみ焼却施設,27066,,有り
埼玉県,所沢市,所沢市東部クリーンセンターごみ焼却施設,51503,,有り
埼玉県,飯能市,飯能市クリーンセンター,18199,,有り
埼玉県,加須市,加須クリーンセンターごみ焼却施設,22184,,無し
埼玉県,加須市,大利根クリーンセンターごみ焼却施設,5068,,無し
埼玉県,東松山市,東松山市クリーンセンター,24488,,無し
埼玉県,春日部市,豊野環境衛生センター,64367.27,,無し
埼玉県,狭山市,狭山市稲荷山環境センター(旧名称：　狭山市第二環境センター),33514,,無し
埼玉県,羽生市,羽生市清掃センター,13750,,無し
埼玉県,上尾市,上尾市西貝塚環境センター,52177.65,,無し
埼玉県,入間市,入間市総合クリーンセンター,35136,,無し
埼玉県,入間市,入間市清掃事業所,0,休止,無し
