都道府県名,地方公共団体名,施設名,埋め立て済み割合,埋立場所,処理対象廃棄物,全体容積(m3),処分場の現状
北海道,豊浦町,豊浦町じん芥埋立場,96,平地,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,15000,埋立中
北海道,虻田町,虻田町不燃物捨場,93,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,200000,埋立中
北海道,洞爺村,洞爺村塵芥最終処分場,77,山間,不燃ごみ・その他・焼却残渣,4200,埋立中
北海道,大滝村,大滝村じん芥処理場,81,山間,粗大ごみ・焼却残渣,900,埋立中
北海道,壮瞥町,壮瞥町塵芥捨場,94,山間,混合・資源・直接搬入ごみ・粗大ごみ,62000,埋立中
北海道,白老町,白老町環境衛生センター,70,平地,不燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,61920,埋立中
北海道,日高町,日高町最終処分場,0,平地,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,8800,埋立前
北海道,日高町,日高町ごみ埋立地,100,山間,不燃ごみ・その他・直接搬入ごみ・粗大ごみ・焼却残渣,15000,埋立中
北海道,三石町,三石町じん芥処理場,100,山間,不燃ごみ,28000,埋立終了
北海道,浦河町,浦河町クリーンプラザ,0,山間,不燃ごみ・焼却残渣,44200,埋立前
北海道,様似町,様似町クリーンセンター最終処分場,7,平地,不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,34500,埋立中
北海道,えりも町,えりも町産業廃棄物処理場,86,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,212000,埋立中
北海道,鹿追町,鹿追町塵芥処理場,75,山間,不燃ごみ・その他・直接搬入ごみ・粗大ごみ,55000,埋立中
北海道,新得町,新得町一般廃棄物埋立処分場,17,山間,混合・不燃ごみ・その他・破砕ごみ・中間処理残査・焼却残渣,42900,埋立中
北海道,清水町,清水町一般廃棄物最終処分場,54,平地,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,25273,埋立中
北海道,芽室町,芽室町西芽室ごみ埋立処分地,96,山間,不燃ごみ・粗大ごみ,194550,埋立中
北海道,幕別町,幕別町豊岡ゴミ処理場,97,山間,不燃ごみ・直接搬入ごみ・粗大ごみ,282000,埋立終了
北海道,池田町,池田町一般廃棄物最終処分場,82,山間,混合・粗大ごみ・焼却残渣,98465,埋立中
北海道,豊頃町,豊頃町安骨ごみ埋立地,97,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,72000,埋立中
北海道,本別町,本別町清掃センター,73,山間,不燃ごみ・その他・直接搬入ごみ,10000,埋立中
北海道,足寄町,足寄町一般廃棄物最終処分場,92,山間,混合,82407,埋立中
北海道,足寄町,足寄町廃棄物最終処分場,100,山間,混合・直接搬入ごみ・粗大ごみ,270000,埋立終了
北海道,陸別町,陸別町塵芥焼却場最終処分地,49,平地,不燃ごみ・直接搬入ごみ・焼却残渣,4390,埋立中
北海道,陸別町,陸別町塵芥処理場最終処分地,100,平地,不燃ごみ・直接搬入ごみ・焼却残渣,3200,埋立中
北海道,浦幌町,浦幌町一般廃棄物処理センター,65,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,53680,埋立中
北海道,厚岸町,厚岸町一般廃棄物最終処分場,60,山間,不燃ごみ・直接搬入ごみ・焼却残渣,24000,埋立中
北海道,厚岸町,厚岸町埋立処分場,91,山間,可燃ごみ・不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,41000,埋立中
